track,mouse_ID,mean_distance,median_speed,iqr_speed
bl6,2283,2.4853557069491052,0.2685070774513063,1.6693428157507297
bl6,2284,2.019105423616825,0.20183832283068792,1.5827320760205015
bl6,2286,2.888307336578903,0.21720701826114874,1.6341524455089573
bl6,2287,2.2315839435965117,0.24942788990802164,1.6662445067462797
bl6,2288,2.291261242987418,0.25724259206991007,1.674408475371628
bl6,2289,2.2899378652742652,0.15912441248476525,1.541837359175597
bl6,2290,2.3908476855223046,0.24163406047896663,1.6591726070457402
bl6,2291,1.764317453030458,0.08030607938823556,1.2536988966948963
bl6,2296,2.753693259104458,0.2122802734375,1.6094820632851907
bl6,2301,3.8331740808497368,0.15047404670159978,1.4886681312092347
bl6,2478,2.6757374105354983,0.281757708519744,1.8434062137441856
bl6,2479,2.68262483074401,0.12657350898638287,1.539164068244253
bl6,2480,6.493908422637364,0.18346967850392204,1.6585234963854174
bl6,2481,2.5433338786918886,0.22304144390624359,1.8111291093242952
bl6,2513,3.597690387981412,0.6063872937423409,2.321043919349953
bl6,2514,6.946627991824614,0.10274855293006951,1.3710722525919452
bl6,2515,3.365909899094343,0.32089215083202993,1.9571880054593358
bl6,2537,5.594543304966173,0.1601887143362262,1.6812286014712488
bl6,2539,4.4770111739273775,0.1416737294925584,1.650136178518017
bl6,2542,3.2668348426316407,0.521414982799818,2.2034681393706266
