track,mouse_ID,mean_distance_nose_to_tail
bl6,2283,124.03772136504688
bl6,2284,126.29924839617092
bl6,2286,133.1659755075984
bl6,2287,136.1001525484114
bl6,2288,136.1001517918245
bl6,2289,119.70580311615501
bl6,2290,122.84212867801989
bl6,2291,118.87420488173889
bl6,2296,118.25907107403746
bl6,2301,115.5765149183245
bl6,2478,128.30185599597385
bl6,2479,130.26070195275642
bl6,2480,169.52090639787758
bl6,2481,141.61107629717034
bl6,2513,134.39294737289012
bl6,2514,153.25685910720975
bl6,2515,134.95817561032348
bl6,2537,130.51021554821278
bl6,2539,149.05821703955328
bl6,2542,141.771395412517
