track,mouse_ID,mean_distance
bl6,2283,359.8965403313643
bl6,2284,244.54409496593067
bl6,2286,214.71924725160645
bl6,2287,525.3660048033913
bl6,2288,525.3658329828518
bl6,2289,333.72282746080276
bl6,2290,337.1886128971914
bl6,2291,405.9378932771241
bl6,2296,326.63077352305726
bl6,2301,352.5305686348913
bl6,2478,642.4320166406656
bl6,2479,250.7856328924837
bl6,2480,450.93655258068026
bl6,2481,455.1839418693453
bl6,2513,517.9710165571463
bl6,2514,232.72835221962066
bl6,2515,295.20601228246477
bl6,2537,316.5300177682417
bl6,2539,344.8633253434109
bl6,2542,440.9014348184868
