track,mouse_ID,mean_distance
bl6,2283,305.0457839454873
bl6,2284,340.8166265423778
bl6,2286,298.9808334038329
bl6,2287,460.5139337521723
bl6,2288,460.52465164135606
bl6,2289,291.6691060035086
bl6,2290,278.01626475684554
bl6,2291,358.1894831557953
bl6,2296,352.7127442358648
bl6,2301,323.9245389592832
bl6,2478,548.9955616987311
bl6,2479,375.04606600743205
bl6,2480,476.7139566650815
bl6,2481,381.58096565649555
bl6,2513,458.77038648392977
bl6,2514,225.5313045960272
bl6,2515,323.79662960185414
bl6,2537,319.86885605599576
bl6,2539,336.80883783490776
bl6,2542,436.6752242882511
