track,mouse_ID,mean_fh_distance,mean_sh_distance
bl6,2283,362.1906383749898,247.91347779319818
bl6,2284,338.75565813930126,342.8771423832225
bl6,2286,249.5959905061163,348.3548320233549
bl6,2287,452.89997998299714,468.1262155947403
bl6,2288,452.9257000291745,468.1219346212117
bl6,2289,298.70600570805317,284.6337515118989
bl6,2290,301.4637426961885,254.57393558297017
bl6,2291,379.44722418015016,336.93641005876236
bl6,2296,291.9363273471893,413.4758154027817
bl6,2301,306.1290824196082,341.71608784490917
bl6,2478,585.7918003933597,512.2074029862488
bl6,2479,249.08373190076068,500.9807404008608
bl6,2480,421.2833406345674,532.1324008431515
bl6,2481,480.70044227614187,282.48325440281747
bl6,2513,478.76965616071175,438.7755083903003
bl6,2514,211.09535732515764,239.96408191800114
bl6,2515,361.5983299123059,286.00323006002554
bl6,2537,346.6216401094622,293.1219465708328
bl6,2539,423.80125918603716,249.83551890392567
bl6,2542,402.85875505143457,470.48426786208205
