track,mouse_ID,mean_distance_nose_to_tail
bl6,2283,121.80529882093104
bl6,2284,124.6668871962324
bl6,2286,126.03462340376714
bl6,2287,114.7122394642846
bl6,2288,132.1901692486367
bl6,2289,116.78011050591626
bl6,2290,125.66140164323255
bl6,2291,117.77231890244838
bl6,2296,118.89235874753857
bl6,2301,123.63973053875627
bl6,2478,139.09983046748928
bl6,2479,137.72788513862787
bl6,2480,125.45180166453433
bl6,2481,162.48309520434304
bl6,2513,136.86905149573494
bl6,2514,125.89536716550454
bl6,2515,133.2834020169403
bl6,2537,133.25968712467753
bl6,2539,135.94609785692973
bl6,2542,140.00137991912675
