track,mouse_ID,mean_location_Neck.x,mean_location_Neck.y
bl6,2283,668.227503281335,311.7369384024216
bl6,2284,729.2962676668528,324.65212692967805
bl6,2286,696.176091861107,351.07823417481785
bl6,2287,605.7391751365708,476.31867771561275
bl6,2288,605.6948499485835,476.3145876539202
bl6,2289,656.5948520960734,334.09728727322897
bl6,2290,674.5266056088018,302.54526732982913
bl6,2291,617.3378454953763,310.7435371760834
bl6,2296,643.0171698103939,343.52284363746327
bl6,2301,590.5211879713052,336.42704922906574
bl6,2478,735.328525908891,594.198116345006
bl6,2479,756.2876701652382,391.58288583371177
bl6,2480,733.6072342741617,487.9746481435836
bl6,2481,846.4934166644059,444.74164259602605
bl6,2513,738.8473346006914,465.54565028027986
bl6,2514,778.83883114747,251.71511657813699
bl6,2515,799.6712375639612,316.54735878399543
bl6,2537,754.5761979374205,338.6281739058264
bl6,2539,733.832299311755,345.56076421870665
bl6,2542,772.115203222407,441.5953643076687
