mean_fh_Neck.x,mean_fh_Neck.y,mean_sh_Neck.x,mean_sh_Neck.y,mouse_ID
668.227503281335,311.7369384024216,650.8837937337972,127.34717230410925,2283
729.2962676668528,324.65212692967805,643.1935064940549,131.41956604253556,2284
696.176091861107,351.07823417481785,649.7044068656194,135.64058166693238,2286
605.7391751365708,476.31867771561275,646.5379747646471,135.52152718782452,2287
605.6948499485835,476.3145876539202,646.5394320284298,135.52376786652232,2288
656.5948520960734,334.09728727322897,639.2547318666005,136.71877058897712,2289
674.5266056088018,302.54526732982913,659.0966670441683,133.92682519068475,2290
617.3378454953763,310.7435371760834,658.788288113523,137.8830218827723,2291
643.0171698103939,343.52284363746327,634.8402882068417,123.5323349460624,2296
590.5211879713052,336.42704922906574,642.1635192422059,134.34186471185322,2301
735.328525908891,594.198116345006,740.3683441118546,125.07036493836924,2478
756.2876701652382,391.58288583371177,773.3226429847222,122.6170705642608,2479
733.6072342741617,487.9746481435836,750.936848387546,120.86092184340508,2480
846.4934166644059,444.74164259602605,765.1602464154195,128.8852545320497,2481
738.8473346006914,465.54565028027986,764.1532117601308,121.20870933562036,2513
778.83883114747,251.71511657813699,745.1289415896705,129.49168989416717,2514
799.6712375639612,316.54735878399543,759.7787443516845,122.73890924710297,2515
754.5761979374205,338.6281739058264,757.9251851133894,119.9709062137522,2537
733.832299311755,345.56076421870665,739.607122731023,128.48449556278032,2539
772.115203222407,441.5953643076687,763.1341578067952,117.00951399676975,2542
