mouse_ID,mean_location__Neck.x,mean_location__Neck.y,mean_angle,mean_distance_nose_to_tail,mean_distance,median_speed,iqr_speed,sus_res
2283,611.4023486511281,390.2116948663278,48.01850682697999,124.03772136504688,359.8965403313643,1.057335346003481,2.3579216116442554,sus
2284,711.5090245074383,238.94747872232037,40.91403792040373,126.29924839617092,244.54409496593067,0.87106017245396,2.209698382941693,res
2286,687.3950316653579,294.5195969954965,41.56720858098355,133.1659755075984,214.71924725160645,1.248985533932438,2.3027476833736484,sus
2287,506.7190604733241,558.6932247784046,44.73676685158063,136.1001525484114,525.3660048033913,0.859898036146495,2.303001830625865,sus
2288,506.7190606153552,558.6932249713122,44.7367010615005,136.1001517918245,525.3658329828518,1.0124003081679511,2.46051587687675,sus
2289,737.5011755330393,379.1501948141197,42.30900456539099,119.705803116155,333.7228274608028,0.918513210106406,2.35042926927568,sus
2290,652.7838571351845,366.0676301202035,40.66257252494911,122.84212867801988,337.1886128971914,1.157141325895541,2.5724091311139343,res
2291,713.2983378086795,386.5919846632508,40.67357778807339,118.87420488173888,405.9378932771241,0.4004239767867855,1.8058102795615436,sus
2296,657.9589004622595,331.52820927078574,45.15932737218549,118.25907107403746,326.63077352305726,0.9096463635061468,2.343415814674703,res
2301,515.522931852815,346.7906749488977,36.39348881440723,115.5765149183245,352.5305686348913,1.02972412109375,2.366265349556733,res
2478,846.7413361833704,684.6567916785323,50.61785491313526,128.30185599597385,642.4320166406656,0.9666677012344908,2.611992600950842,res
2479,763.7272635866346,305.2422814114629,48.32387929563725,130.26070195275642,250.7856328924837,0.9386830878836734,2.5100594868279926,sus
2480,713.3364543863411,458.9663319229116,43.7299328206112,169.52090639787758,450.93655258068026,1.027550851184186,2.455186546530399,sus
2481,946.44937182122,524.7476626653478,41.39013783493622,141.61107629717034,455.1839418693453,0.9408743365657992,2.699632322707693,sus
2513,764.999212448913,540.9896069034069,46.946550143018655,134.39294737289012,517.9710165571463,1.2622554871803675,2.5277817994704845,sus
2514,773.086148731839,272.78741163861656,40.874907737330965,153.25685910720975,232.72835221962063,1.062861462394574,2.3691649178660272,
2515,753.1321668526834,282.4930561942238,45.00288014043308,134.95817561032348,295.2060122824648,0.9878990669919548,2.453420072020672,res
2537,805.2534398966347,311.69192392317973,43.08486193160796,130.51021554821278,316.5300177682417,1.130602377499505,2.442029838909748,res
2539,752.9013732333553,342.8112521943996,43.52477642015893,149.05821703955328,344.8633253434109,1.0812744548385744,2.4984102122589102,res
2542,775.9662638688359,458.8816557012687,43.97020653176104,141.771395412517,440.9014348184868,1.022142420926511,2.524605343460096,res
