track,mouse_ID,mean_angle
bl6,2283,48.01850682697999
bl6,2284,40.91403792040373
bl6,2286,41.56720858098355
bl6,2287,44.73676685158063
bl6,2288,44.7367010615005
bl6,2289,42.30900456539099
bl6,2290,40.66257252494911
bl6,2291,40.67357778807339
bl6,2296,45.15932737218549
bl6,2301,36.39348881440723
bl6,2478,50.61785491313526
bl6,2479,48.32387929563725
bl6,2480,43.729932820611204
bl6,2481,41.39013783493622
bl6,2513,46.946550143018655
bl6,2514,40.874907737330965
bl6,2515,45.00288014043308
bl6,2537,43.08486193160796
bl6,2539,43.52477642015893
bl6,2542,43.97020653176104
