mouse_id,session,fps,frame_start
2283,1,59.94,1
2283,1,59.94,1
2284,1,59.94,1
2286,1,59.94,1
2287,1,59.94,1
2288,1,59.94,1
2289,1,59.94,1
2290,1,59.94,1
2291,1,59.94,1
2296,1,59.94,1
2301,1,59.94,1
2478,1,59.94,1
2479,1,59.94,1
2480,1,59.94,1
2481,1,59.94,1
2513,1,59.94,1
2514,1,59.94,1
2515,1,59.94,1
2537,1,59.94,1
2539,1,59.94,1
2542,1,59.94,1
