frame_idx;2283;2284;2286;2288;2289;2290;2291;2296;2301;2287;2478;2479;2480;2481;2513;2514;2515;2537;2539;2542
0;225.6329291;749.2008897;707.618183;841.4958391;902.8019046;839.156653;631.966754;860.278458;350.6999967;573.6853923;912.4039173;891.4116502;274.808899;838.6624631;704.584788;636.586878;701.482952;659.0873172;493.7981879;767.9707246
1;223.3630899;748.9867322;711.0422193;841.5797394;903.6346948;838.9101853;631.0798971;861.2361358;353.8300894;569.7596372;910.7029256;891.1676648;275.4221078;839.7045129;705.3139044;639.2238349;702.6975526;660.451095;493.7981879;767.7395468
2;221.0947117;748.7727679;714.4740701;841.6649719;904.4706231;838.6673216;630.193796;862.1983863;356.9619548;565.8339057;909.0028601;890.9268871;276.0606434;840.7517681;705.6744591;641.8614916;703.9168887;661.6713032;493.7981879;767.5084123
3;219.5481808;748.3890869;717.7889469;841.5797394;904.7504711;838.5843568;628.171148;862.9866924;357.9423013;561.8954106;908.0940138;890.8790392;276.7630281;843.7539604;705.4196867;642.4418719;706.612491;660.9936655;493.7981879;767.3390638
4;218.0017322;748.0107694;721.1142865;841.6547477;905.0304621;838.5014467;626.1487708;863.7771594;358.9245379;557.9569415;907.1857067;890.8312472;277.5087487;846.756353;705.168872;643.0296304;709.3164195;660.316095;493.7981879;767.1697269
5;217.5567048;747.7116346;723.2032128;841.4574306;905.196918;838.4327811;623.7815313;864.7300878;360.3486664;554.2012614;906.8866698;890.8027898;278.5554296;847.2068719;705.3650525;645.1885501;711.4652247;659.5822871;493.7981879;766.888422
6;214.9690253;746.9642725;727.4119333;841.4574306;905.4372145;838.2483501;620.0326917;866.5487503;364.1817485;546.5322393;905.4441323;889.0512205;279.9081773;848.0119689;705.5716869;649.2518425;715.4515799;659.4735929;493.7981879;766.4770431
7;212.0973087;746.071656;730.7141881;841.190877;905.7686309;836.4185321;618.1475113;868.286184;366.8811175;538.7782326;904.1806057;887.1211852;280.6691708;850.3545106;705.8769928;655.0144024;718.6873005;659.4666938;493.7981879;764.4303963
8;209.8775346;745.5103484;734.0703011;810.5967213;906.0035512;834.6189209;615.3185238;869.9031833;367.4091366;530.8772421;904.1266532;886.4912338;280.7464931;853.0177767;703.4803333;664.3217954;722.0098002;658.3037272;493.7981879;761.6339216
9;205.8379095;745.3902809;739.4941866;780.6394111;906.549632;834.5198691;611.2086577;872.740779;368.309492;522.9664138;902.9224767;885.9857755;281.6912018;856.2229964;703.2873612;671.4616216;724.5849818;654.4675514;493.7981879;758.5205582
10;201.6082172;745.2652728;743.4144656;778.0810596;907.0840335;834.4173696;607.4425127;875.4761687;369.3553794;515.5011758;901.6047911;885.9367948;283.0506434;858.9336357;701.4183527;674.6816106;728.5340255;651.1884932;493.7981879;754.8208752
11;197.4999757;744.9944641;745.9264257;774.9736865;907.1966305;834.11705;602.8660939;877.0390154;371.8575371;510.7244787;902.0468267;885.8998496;283.1987391;859.4654217;699.55032;678.2356253;733.0995339;649.7538296;493.7981879;751.5900308
12;192.8651893;744.7793753;749.2923788;772.2073853;908.0648197;833.8974334;599.1045793;879.0047648;375.2763928;505.9091351;902.2392732;885.6612295;283.716185;860.103831;697.7569125;683.8720157;735.3720476;647.6822312;493.7981879;749.4149924
13;188.798683;744.439898;751.3776462;768.5369236;907.4353656;833.7148773;596.1112674;880.0449344;376.9645525;496.416118;901.4328901;885.2331999;284.9903105;862.3761888;695.981066;692.3774298;736.9580184;645.1944702;494.2187739;748.384316
14;184.7157039;742.2137763;754.1005528;764.901925;906.7820999;828.6504153;593.0215213;881.6771111;377.6373477;486.5504749;901.5578048;885.1194284;285.669905;865.6422455;695.7594423;699.7001476;740.0407327;643.9546972;494.6407185;745.7920181
15;180.4343154;740.041458;757.7921707;763.5873245;907.5741691;823.6905759;591.1079612;884.7100041;378.1089814;480.2934421;902.3141282;885.1441958;285.049766;867.1986931;695.5382948;702.4239555;744.6032852;640.4629454;493.3556444;743.4806348
16;176.0397837;739.6431526;759.7883568;759.9741505;907.7397633;821.6557465;587.9083077;882.564722;378.4885808;474.7203713;901.3562356;884.9358126;286.1247581;867.752071;695.5382948;704.4977792;748.8716771;637.5988494;493.3556444;742.978058
17;171.4930382;739.3638294;760.5767356;754.6778885;907.853155;817.599249;583.9167615;883.7090723;378.7506615;467.4686451;900.7728541;884.6541815;287.716288;868.2099144;694.5773244;706.8180845;752.6850952;636.7632236;493.3556444;742.6637004
18;166.8555495;737.9609249;762.9026291;750.6155688;908.0023425;814.7269753;582.1413836;879.1816133;378.8378383;459.8039096;900.5391167;884.5294852;288.0580014;869.9323159;693.6236546;708.0440417;755.5463669;634.636143;493.3556444;742.4252856
19;161.5864147;736.4529041;765.2423476;748.1922483;908.1817242;813.3450111;581.8065473;878.3115;378.7949328;453.5140622;900.7875586;884.4786954;289.1306925;871.6862109;671.9476116;709.8261682;758.7471299;631.4659219;493.3556444;741.4407069
20;156.574678;736.0539935;766.1117471;744.5988229;908.914062;810.8674862;580.1022167;878.0553054;378.619879;448.8513233;902.5682644;884.1548741;291.0326898;872.97829;672.0249378;710.083336;762.3822348;629.0433454;493.3556444;740.4498497
21;151.5616891;735.9372925;767.6274914;741.1576849;909.6740473;805.2515627;578.3991135;877.8538798;378.4811929;443.0396955;902.4329377;883.9577075;293.6983245;874.3018696;671.8858363;708.6255343;766.1814021;625.1455318;493.3556444;740.3703456
