mouse_id,session,fps
2283,2,59.94
2284,2,59.94
2286,2,59.94
2286,2,59.94
2287,2,59.94
2288,2,59.94
2288,2,59.94
2289,2,59.94
2290,2,59.94
2291,2,59.94
2296,2,59.94
2301,2,59.94
2478,2,59.94
2479,2,59.94
2280,2,0.0
2480,2,59.94
2481,2,59.94
2513,2,59.94
2514,2,59.94
2515,2,59.94
2537,2,59.94
2539,2,59.94
2542,2,59.94
2283,1,59.94
