track,mouse_ID,mean_distance
bl6,2283,448.7239347132872
bl6,2284,488.30752796777847
bl6,2286,500.28125027042944
bl6,2287,407.6136931205928
bl6,2288,475.8773087107863
bl6,2289,499.31273970742865
bl6,2290,385.2232903468752
bl6,2291,657.8711019900787
bl6,2296,460.3281703161469
bl6,2301,411.64116713334954
bl6,2478,600.120767429408
bl6,2479,456.6817080891662
bl6,2480,442.5431937382393
bl6,2481,513.7472356391519
bl6,2513,562.143301939095
bl6,2514,457.95550279210306
bl6,2515,502.82270196256616
bl6,2537,439.3085597970252
bl6,2539,502.55082175283883
bl6,2542,466.4505185199706
