track,mouse_ID,mean_angle_fh_angle,mean_angle_sh_angle
bl6,2283,52.13366850135697,47.3309472548996
bl6,2284,48.04827964067751,45.42845198223682
bl6,2286,49.45178729961888,48.11767412457189
bl6,2287,49.32931112251734,47.47281321052641
bl6,2288,48.82600031032445,45.79244024379066
bl6,2289,52.23380635743954,48.23457634892932
bl6,2290,47.96170032483937,45.00769245297898
bl6,2291,47.4011791995184,55.39847291765156
bl6,2296,48.41935421917255,44.65388216198607
bl6,2301,46.02405084730718,47.37048826493603
bl6,2478,52.69891846690011,50.16680202436221
bl6,2479,50.99570561808908,46.014041787455206
bl6,2480,48.119563435419714,48.039631928014146
bl6,2481,44.11688887098629,44.601849596623076
bl6,2513,47.368576213191886,49.72933579487206
bl6,2514,50.86474259513928,43.43353521704141
bl6,2515,49.106614813845574,46.18841440820868
bl6,2537,45.154374308874246,49.54246695773819
bl6,2539,48.07449721006694,48.68014003771734
bl6,2542,46.077494088311504,45.695804388671654
