mouse_ID,session,s_in_roi,s_in_roi_ang_dir
2283,1,45.17851184517851,23.65699032365699
2284,1,26.843510176843512,14.464464464464465
2286,1,35.15181848515182,12.495829162495829
2287,1,53.11978645311979,30.78078078078078
2288,1,31.7650984317651,17.26726726726727
2289,1,25.875875875875877,13.113113113113114
2290,1,52.23556890223557,24.174174174174176
2291,1,6.306306306306307,1.951951951951952
2296,1,31.58158158158158,14.364364364364365
2301,1,59.075742409075744,30.48048048048048
2478,1,14.5311978645312,4.437771104437771
2479,1,42.47580914247581,17.784451117784453
2480,1,50.417083750417085,20.30363697030364
2481,1,21.438104771438105,8.742075408742076
2513,1,24.741408074741408,12.746079412746079
2514,1,50.26693360026694,22.489155822489156
2515,1,45.528862195528866,22.27227227227227
2537,1,54.75475475475476,28.8621955288622
2539,1,38.655321988655324,16.700033366700033
2542,1,43.76042709376043,21.388054721388055
