track,mouse_ID,mean_location__Neck.x,mean_location__Neck.y
bl6,2283,613.9131971614593,457.11445763341374
bl6,2284,644.9186575443938,566.3387353962389
bl6,2286,681.1041918488356,506.1623362396011
bl6,2287,540.8918581679033,392.45246133728114
bl6,2288,733.5827674387956,476.03911696003235
bl6,2289,596.2884135428094,521.6867360880274
bl6,2290,609.8789149368503,411.16789833894853
bl6,2291,693.3492741041982,665.5386904305878
bl6,2296,688.5639479584327,446.377958613586
bl6,2301,653.3850345712434,400.787009047294
bl6,2478,646.2271147594457,679.7085660992311
bl6,2479,573.8644510423643,447.5970836324079
bl6,2480,647.8815765932944,457.7963653753436
bl6,2481,827.4567703642024,632.1294595562845
bl6,2513,673.084648083486,564.9704950153745
bl6,2514,746.7753606680009,514.5463150304704
bl6,2515,642.1165568784124,554.2195003232417
bl6,2537,712.9754657485245,485.6254645330873
bl6,2539,833.0237282578606,641.5947528884765
bl6,2542,651.716301522811,606.9529538853999
