track,mouse_ID,mean_distance_nose_to_tail
bl6,2283,128.33672477152743
bl6,2284,138.06936902947785
bl6,2286,135.5335250550507
bl6,2287,117.84036344513599
bl6,2288,143.40893451833753
bl6,2289,123.5501337995728
bl6,2290,139.66356422719562
bl6,2291,130.53873684695728
bl6,2296,128.6082270868711
bl6,2301,134.81947155878993
bl6,2478,146.5297201702251
bl6,2479,154.53312999084096
bl6,2480,135.20699384076525
bl6,2481,167.5021506487979
bl6,2513,156.50185281848647
bl6,2514,137.14140170578312
bl6,2515,147.1333098095529
bl6,2537,142.03333187929036
bl6,2539,145.2606497670513
bl6,2542,155.18678077163466
