track,mouse_ID,mean_angle
bl6,2283,49.73230787812828
bl6,2284,46.73836581145716
bl6,2286,48.78473071209539
bl6,2287,48.401062166521875
bl6,2288,47.30922027705756
bl6,2289,50.23419135318443
bl6,2290,46.48469638890918
bl6,2291,51.39982605858498
bl6,2296,46.53661819057931
bl6,2301,46.69726955612161
bl6,2478,51.43286024563116
bl6,2479,48.50487370277215
bl6,2480,48.07959768171692
bl6,2481,44.35936923380467
bl6,2513,48.54895600403197
bl6,2514,47.14913890609034
bl6,2515,47.64751461102711
bl6,2537,47.34842063330622
bl6,2539,48.37731862389214
bl6,2542,45.88664923849158
