track,mouse_ID,fh_mean_distance,fh_median_speed,fh_iqr_speed,sh_mean_distance,sh_median_speed,sh_iqr_speed
bl6,2283,4.7070227814716254,1.0332953324541083,2.3302892457587454,4.179571450749996,0.9137496948242472,2.2614647139891177
bl6,2284,3.1173356777309964,0.8082338324587273,2.152744157717696,3.2918391687945374,0.6061925467616058,1.9686888921125036
bl6,2286,4.530873375182439,1.1528874251711212,2.282230085033764,4.0399995847817465,0.9215526174935693,2.312960296162152
bl6,2287,3.646901915743234,0.7683402542199023,2.290193869604687,3.819850150688521,0.6610849788058051,2.260559486794757
bl6,2288,3.848107168814218,1.0664573657993084,2.455205242438037,4.213193904502296,1.0546709551723674,2.404174966376472
bl6,2289,4.270618819285857,1.0288020202586439,2.3748979878263885,2.7876321188195017,0.41027658600931893,1.7817200624071154
bl6,2290,4.139066337534938,1.1165692536021463,2.5634651627910054,3.579565505964465,0.7544906212424516,2.2608499119992853
bl6,2291,2.477827416062979,0.38148965529287693,1.8287903033565238,1.3440540763097357,0.08196924126150099,1.1877274370084268
bl6,2296,3.572243149180995,0.8905560896512972,2.3468086509484563,3.2099929003214163,0.6050056520916276,1.939989724750244
bl6,2301,4.320945139341586,0.9426183340891594,2.313966913379294,4.031467356276082,0.7058317891067052,2.140560338852486
bl6,2478,3.56096596887277,0.872424167795705,2.5902669983723103,3.197294438549144,0.46123835592485074,2.423585141440931
bl6,2479,3.8263013218278195,0.922010993339339,2.5167620205704893,3.6247562991569082,0.5860673019042595,2.366223835142658
bl6,2480,4.471118029164625,0.9823660359589486,2.463775639673291,4.761024343732873,0.7454429394456383,2.329470068470261
bl6,2481,3.9701290586962936,1.0300903320313068,2.696380615586714,3.6956412844534317,0.8856646529239933,2.6233795381528817
bl6,2513,4.516833399310206,1.2194168487215826,2.524115862376865,4.713916138477622,0.9110589675030933,2.3075696925220957
bl6,2514,5.410033980205626,1.0483202502670905,2.403001950280914,4.359267781989933,0.8527576550622769,2.4156822617448848
bl6,2515,4.695884475268092,0.8748396567688346,2.434487217323571,4.842228712028641,0.8521449753224317,2.4852498933824143
bl6,2537,5.612680386788934,1.0920383913768381,2.4792634826522715,5.5538679722531175,0.9968286489735778,2.5755218756956233
bl6,2539,5.415956852218591,1.001832117129231,2.532162850267767,4.825178489778731,0.9222465697117657,2.3867399976587915
bl6,2542,3.5151773676338274,0.9705978206489294,2.543286681369217,4.245131350946575,0.8032761382306903,2.406954476020911
