track,mouse_ID,mean_distance,median_speed,iqr_speed
bl6,2283,4.765369003912431,1.0573353460034807,2.3595204473680895
bl6,2284,3.1727154564780125,0.868350914865677,2.2166983063900823
bl6,2286,4.633420433125026,1.250197512320684,2.3018702470070522
bl6,2287,3.8749229444121824,0.8527374267579262,2.317678868172151
bl6,2288,3.6832304358336114,1.0284265589291994,2.482641635162991
bl6,2289,4.117823030884225,0.9197672282363665,2.3391321773312352
bl6,2290,4.1075702257007825,1.1541201906802243,2.577348580626978
bl6,2291,2.574350485503572,0.41183384309271176,1.8262442806667716
bl6,2296,3.5534191542134446,0.910478181903039,2.384249280002675
bl6,2301,4.50177350998548,1.0247727989599218,2.36254038912149
bl6,2478,3.560186224752972,0.9748394390681998,2.6047698566176956
bl6,2479,3.8287372973344174,0.8882603954308459,2.5120081802746306
bl6,2480,4.452640155110178,1.0300671451064982,2.4535903965191705
bl6,2481,3.8766555503333393,0.923713764696191,2.702236273231825
bl6,2513,4.6396195059724885,1.2506210938783702,2.543485344103355
bl6,2514,5.615347871076434,1.0878478246241379,2.383826810531607
bl6,2515,4.743947446868548,0.9403720362494519,2.4594813797267996
bl6,2537,5.428116656766732,1.1007984310546206,2.4552302565600166
bl6,2539,5.557475848548012,1.1093798311449685,2.5216279363106797
bl6,2542,3.384801782631732,0.9745873330394677,2.5141327551121924
