track,mouse_ID,mean_location_Neck.x,mean_location_Neck.y
bl6,2283,611.8603570990975,426.90426870573475
bl6,2284,677.3066646728649,494.9559096492863
bl6,2286,635.8898067717714,504.8896963758926
bl6,2287,557.1756633716169,362.9341729716054
bl6,2288,640.962704691654,465.9430916505504
bl6,2289,623.1772513341338,494.95478327097055
bl6,2290,665.9631720776606,380.0074013178431
bl6,2291,746.5361114154553,680.1360357635303
bl6,2296,706.1074808609942,401.784071182397
bl6,2301,637.2656519084684,401.8417978790223
bl6,2478,708.4977919095631,609.0143341789463
bl6,2479,666.3577025632108,414.23824544840323
bl6,2480,699.8617648851804,407.875852336036
bl6,2481,792.9682302042822,539.2303189299886
bl6,2513,746.3216766931389,554.4941061622395
bl6,2514,751.537807245586,424.85732064748515
bl6,2515,726.3126967757796,479.4259396753173
bl6,2537,680.1858440219595,415.55959113159213
bl6,2539,818.2546962733003,487.60306776896795
bl6,2542,725.9502411727805,471.27228333338525
