track,mouse_ID,mean_angle
bl6,2283,52.980434243885455
bl6,2284,47.9838066086604
bl6,2286,49.013432488732946
bl6,2287,49.107592692469815
bl6,2288,48.92654838870273
bl6,2289,51.73616112554038
bl6,2290,49.231353734742484
bl6,2291,50.95355076937182
bl6,2296,47.631940250939735
bl6,2301,46.07531409845308
bl6,2478,53.41316696640028
bl6,2479,50.7789729129245
bl6,2480,48.29438387435175
bl6,2481,44.776152632995924
bl6,2513,48.74486077969729
bl6,2514,52.36234303308638
bl6,2515,47.958001687543394
bl6,2537,45.54569309074558
bl6,2539,45.88989698601353
bl6,2542,46.74432839155303
